,listing_price
price,0.8573871821874156
year,
month,-0.03385444353038004
day,-0.0013179546631982043
scrape_id,
host_id,-0.06294614597315303
host_listings_count,0.20505833274586185
host_total_listings_count,0.20505833274586185
latitude,0.2296446734360402
longitude,0.10678443883506245
accommodates,0.46106848785915633
bathrooms,0.2337595814943431
bedrooms,0.42542231594774943
beds,0.39909135131444085
listing_price,1.0
cleaning_fee,1.0
guests_included,0.23185425667073378
extra_people,1.0
minimum_nights,0.06928293051147129
maximum_nights,-0.007358265018055441
availability_30,0.1526569092665883
availability_60,0.12450363340185557
availability_90,0.1081396323359772
availability_365,0.004110807080562735
number_of_reviews,-0.1261970176921682
review_scores_rating,-0.0534854526254271
review_scores_accuracy,-0.06453765654299193
review_scores_cleanliness,-0.04709189034292118
review_scores_checkin,-0.06996865308838553
review_scores_communication,-0.07054651456520479
review_scores_location,-0.035818935078339796
review_scores_value,-0.07157282683437531
calculated_host_listings_count,0.19193994419294705
reviews_per_month,-0.16817582311019877
